Name,Date,TimeStep,Site,Module,Side,A1,A2,Row,Column,Label
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,894,1237,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1048,1237,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1351,1706,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1430,1632,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1222,577,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1179,1156,*GRMA
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,533,1499,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1039,1896,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,672,1776,B
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1293,1807,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,794,600,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1447,1305,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,887,1608,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,676,3339,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1156,3239,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,686,2476,*GRMA
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,471,2909,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1181,2463,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,612,3045,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,825,2074,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,611,2111,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1190,3444,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,976,2364,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1059,2202,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,604,2851,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1094,3189,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2376,1812,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1686,1928,*GRMA
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1913,1194,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2422,764,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2057,1199,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2271,888,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1643,533,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1718,708,B
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2349,714,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2205,1830,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2208,1037,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2120,928,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2081,1034,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2165,3361,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2497,2328,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2322,3060,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2444,2071,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2270,3344,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1612,2664,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1621,2915,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2157,2563,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,2143,2779,Sand
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,1875,2400,Sand
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1165,1928,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1190,1731,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,779,1018,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1316,1435,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,228,1027,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1357,2121,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,432,2156,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,258,1243,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,461,957,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1542,1172,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,410,1953,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1013,1732,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1338,1296,B
